Station_name,number,Degree
JBS ( Jublee Bus Station ),0,1
Parade Ground,1,2
Secunderabad,2,2
Gandhi Hospital,3,2
Musheerabad,4,2
RTC Cross Roads,5,2
Chikkadpally,6,2
Narayanguda,7,2
Sultan Bazar,8,2
M.G Bus Station,9,4
Salarjung Museum,10,2
Charminar,11,2
Shalibanda,12,2
Shamsher Gunj,13,2
Jungametta,14,2
Falaknuma,15,1
Nagole,16,1
Uppal,17,2
Stadium,18,2
NGRI (National Geophysical Research Institute),19,2
Habsiguda,20,2
Tarnaka,21,2
Mettuguda,22,2
Paradise,23,2
Rasoolpura,24,2
Prakash Nagar,25,2
Begumpet,26,2
Ameerpet,27,4
Madhur Nagar,28,2
Yousufguda,29,2
Jubilee Hills Road No. 5,30,2
Jubilee Hills Check Post,31,2
Peddamma Temple,32,2
Madhapur,33,2
Durgam Cheruvu,34,2
Hitec City,35,2
Raidurg,36,1
Miyapur,37,1
J.N.T.U College ( Jawaharlal Nehru Technological University),38,2
K.P.H.B. Colony (Kukatpally Housing Board Colony),39,2
Kukatpally,40,2
Balanagar,41,2
Moosapet,42,2
Bharatnagar,43,2
Erragadda,44,2
ESI Hospital,45,2
S.R Nagar (Sanjeeva Reddy Nagar),46,2
Punjagutta,47,2
Errum Manzil,48,2
Khairatabad,49,2
Lakdi ka Pul,50,2
Assembly,51,2
Nampally,52,2
Gandhi Bhavan,53,2
Osmania Medical College,54,2
Malakpet,55,2
New Market,56,2
Musarambagh,57,2
Dilsukh Nagar,58,2
Chaitanyapuri,59,2
Victoria Memorial,60,2
L.B. Nagar (Lal Bahadur Nagar),61,1
