Source,Target,Line
Dakshineswar,Baranagar,Line 1
Baranagar,Noapara,Line 1
Noapara,Dumdum,Line 1
Dumdum,Belgachia,Line 1
Belgachia,Shyambazar,Line 1
Shyambazar,Shobhabazar,Line 1
Shobhabazar,Girish Park,Line 1
Girish Park,MG Road,Line 1
MG Road,Central,Line 1
Central,Chadni Chowk,Line 1
Chadni Chowk,Esplanade,Line 1
Esplanade,Park Street,Line 1
Park Street,Maidan,Line 1
Maidan,Rabindra Sadan,Line 1
Rabindra Sadan,Netaji Bhavan,Line 1
Netaji Bhavan,Jatin Das Park,Line 1
Jatin Das Park,Kalighat,Line 1
Kalighat,Rabindra Sarobar,Line 1
Rabindra Sarobar,Tollygange,Line 1
Tollygange,Kudghat,Line 1
Kudghat,Bansdroni,Line 1
Bansdroni,Naktala,Line 1
Naktala,Garia Bazar,Line 1
Garia Bazar,Sahid Khudiram,Line 1
Sahid Khudiram,New Garia,Line 1
Sector 5,Karunamoyee,Line 2
Karunamoyee,Central Park,Line 2
Central Park,City Center,Line 2
City Center,Bengal Chemical,Line 2
Bengal Chemical,Salt Lake Stadium,Line 2
Salt Lake Stadium,Phoolbagan,Line 2
Phoolbagan,Sealdah,Line 2
Sealdah,Esplanade,Line 2
Esplanade,New Mahakaran,Line 2
New Mahakaran,BBD Bagh,Line 2
BBD Bagh,Howrah,Line 2
Howrah,Howrah Maidan,Line 2
Diamond Park,IIM,Line 3
IIM,Joka,Line 3
Joka,Thakurpukur,Line 3
Thakurpukur,Sakherbazar,Line 3
Sakherbazar,Behala,Line 3
Behala,Taratala,Line 3
Taratala,Majerhat,Line 3
Majerhat,Mominpur,Line 3
Mominpur,Kidderpore,Line 3
Kidderpore,Victoria,Line 3
Victoria,Park Street,Line 3
Park Street,Esplanade,Line 3
Noapara,Dum Dum Cantonment,Line 4
Dum Dum Cantonment,Jessore Road,Line 4
Jessore Road,Biman Bandar,Line 4
Biman Bandar,Birati,Line 4
Birati,Michael Nagar,Line 4
Michael Nagar,New Barrackpore,Line 4
New Barrackpore,Madhyamgram,Line 4
Madhyamgram,Hridaypur,Line 4
Hridaypur,Barasat,Line 4
Baranagar,Kamarhati,Line 5
Kamarhati,Agarpara,Line 5
Agarpara,Sodepur,Line 5
Sodepur,Panihati,Line 5
Panihati,Subhash Nagar,Line 5
Subhash Nagar,Khardaha,Line 5
Khardaha,Tata Gate,Line 5
Tata Gate,Titagarh,Line 5
Titagarh,Talpukur,Line 5
Talpukur,Barrackpore,Line 5
Biman Bandar,VIP Road,Line 6
VIP Road,Chinar Park,Line 6
Chinar Park,City Center 2,Line 6
City Center 2,Mangal Deep,Line 6
Mangal Deep,Eco Park,Line 6
Eco Park,Mother'S Wax Museum,Line 6
Mother'S Wax Museum,Siksha Tirtha,Line 6
Siksha Tirtha,Convention Centre,Line 6
Convention Centre,Swapno Bhor,Line 6
Swapno Bhor,Nazrul Tirtha,Line 6
Nazrul Tirtha,Nabadiganta,Line 6
Nabadiganta,Sector 5,Line 6
Sector 5,Nalban,Line 6
Nalban,Gour Kishore Ghosh,Line 6
Gour Kishore Ghosh,Beliaghata,Line 6
Beliaghata,Barun Sengupta,Line 6
Barun Sengupta,Ritwik Ghatak,Line 6
Ritwik Ghatak,VIP Bazar,Line 6
VIP Bazar,Hemanta Mukherjee,Line 6
Hemanta Mukherjee,Kavi Sukanta,Line 6
Kavi Sukanta,Jyotirindra Nath Nandi,Line 6
Jyotirindra Nath Nandi,Satyajit Ray,Line 6
Satyajit Ray,New Garia,Line 6
